cnpj;optante_simples;optante_simei
30419735000115;SIM;SIM
30469240000109;SIM;SIM
30520149000162;SIM;SIM
30578280000180;NÃO;NÃO
30603601000150;SIM;SIM
30694172000173;SIM;NÃO
30704851000186;SIM;SIM
30762570000180;SIM;SIM
30782932000102;SIM;NÃO
30840727000148;SIM;NÃO
30846478000106;SIM;SIM
30850228000131;SIM;SIM
30887531000109;SIM;NÃO
30904950000292;NÃO INFORMADO;NÃO INFORMADO
30981939000145;SIM;SIM
30993511000112;SIM;SIM
31011671000181;SIM;NÃO
31059218000145;SIM;SIM
31073279000167;SIM;SIM
31076044000129;SIM;SIM
31078085000154;SIM;SIM
31173151000175;SIM;SIM
31196344000141;SIM;SIM
31207206000110;NÃO;NÃO
31210896000167;SIM;SIM
31291215000132;NÃO;NÃO
31325341000160;NÃO;NÃO
31331372000124;NÃO;NÃO
31342945000115;SIM;NÃO
31443330000185;SIM;SIM
31468736000112;SIM;SIM
31495322000182;SIM;SIM
31607703000106;SIM;SIM
31678415000142;SIM;SIM
31679468000188;SIM;SIM
31688437000193;SIM;NÃO
31704495000163;SIM;SIM
31707502000180;SIM;SIM
31726624000114;NÃO;NÃO
31747165000155;NÃO;NÃO
31852638000184;NÃO;NÃO
31858578000107;SIM;SIM
31909364000112;SIM;NÃO
31922519000150;SIM;NÃO
31939974000169;SIM;SIM
31957017000165;SIM;SIM
31967515000199;SIM;SIM
31991099000164;SIM;NÃO
32013129000120;SIM;NÃO
32032626000176;SIM;SIM
32038687000140;SIM;SIM
32040285000180;SIM;SIM
32116825000162;SIM;SIM
32141669000190;NÃO;NÃO
32160144000100;SIM;SIM
32255271000184;SIM;NÃO
32332503000150;SIM;SIM
32384664000198;SIM;SIM
32388708000158;SIM;SIM
32426879000124;SIM;SIM
32444596000105;SIM;SIM
32475224000146;SIM;SIM
32476604000103;SIM;NÃO
32512744000181;SIM;SIM
32521631000142;SIM;SIM
32570753000129;SIM;SIM
32600673000179;NÃO;NÃO
32641079000126;SIM;SIM
32695928000124;SIM;SIM
32795582000136;SIM;NÃO
32821123000180;SIM;SIM
32873167000153;SIM;SIM
32894788000113;SIM;SIM
32907843000162;SIM;NÃO
32982596000169;SIM;SIM
33012386000100;SIM;NÃO
33018720000133;SIM;SIM
33035536000100;NÃO;NÃO
33040601000187;NÃO;NÃO
33045076000192;SIM;SIM
33047285000175;SIM;SIM
33051579000170;SIM;SIM
33071847000388;NÃO;NÃO
33094278000124;SIM;SIM
33163090000190;SIM;SIM
33164021010679;NÃO;NÃO
33203581000118;SIM;NÃO
33232730000177;SIM;SIM
33234152000108;SIM;SIM
33252434000138;SIM;SIM
33381286005706;NÃO;NÃO
33384549000186;SIM;SIM
33422158000109;SIM;SIM
33438545000133;SIM;SIM
33470230000173;NÃO;NÃO
33498934000154;SIM;NÃO
33500325000192;SIM;NÃO
33525358001240;NÃO INFORMADO;NÃO INFORMADO
